iter	Passed	Remaining
763	10153	3136
764	10168	3123
765	10182	3110
766	10197	3097
767	10212	3084
768	10224	3071
769	10237	3058
770	10251	3044
771	10265	3031
772	10278	3018
773	10290	3004
774	10305	2991
775	10318	2978
776	10329	2964
777	10344	2951
778	10357	2938
779	10369	2924
780	10384	2911
781	10397	2898
782	10409	2884
783	10422	2871
784	10437	2858
785	10449	2845
786	10462	2831
787	10476	2818
788	10488	2804
789	10501	2791
790	10513	2777
791	10527	2764
792	10542	2752
793	10558	2739
794	10572	2726
795	10586	2713
796	10599	2699
797	10615	2687
798	10628	2673
799	10641	2660
800	10656	2647
801	10669	2634
802	10682	2620
803	10697	2607
804	10711	2594
805	10724	2581
806	10741	2568
807	10756	2556
808	10770	2542
809	10785	2529
810	10800	2516
811	10812	2503
812	10825	2489
813	10839	2476
814	10852	2463
815	10864	2449
816	10881	2437
817	10893	2423
818	10908	2410
819	10924	2398
820	10938	2384
821	10952	2371
822	10969	2359
823	10984	2346
824	11000	2333
825	11017	2320
826	11030	2307
827	11045	2294
828	11068	2283
829	11086	2270
830	11102	2257
831	11115	2244
832	11131	2231
833	11144	2218
834	11159	2205
835	11172	2191
836	11187	2178
837	11200	2165
838	11213	2151
839	11227	2138
840	11242	2125
841	11257	2112
842	11276	2100
843	11290	2086
844	11308	2074
845	11320	2060
846	11333	2047
847	11349	2034
848	11362	2020
849	11376	2007
850	11390	1994
851	11404	1981
852	11418	1967
853	11430	1954
854	11444	1940
855	11457	1927
856	11471	1914
857	11486	1901
858	11500	1887
859	11514	1874
860	11528	1861
861	11540	1847
862	11553	1834
863	11569	1821
864	11582	1807
865	11595	1794
866	11610	1781
867	11623	1767
868	11636	1754
869	11649	1740
870	11662	1727
871	11675	1713
872	11688	1700
873	11704	1687
874	11716	1673
875	11729	1660
876	11744	1647
877	11757	1633
878	11770	1620
879	11786	1607
880	11799	1593
881	11814	1580
882	11829	1567
883	11842	1554
884	11855	1540
885	11870	1527
886	11883	1513
887	11896	1500
888	11911	1487
889	11925	1473
890	11937	1460
891	11951	1447
892	11966	1433
893	11980	1420
894	11998	1407
895	12011	1394
896	12024	1380
897	12039	1367
898	12053	1354
899	12066	1340
900	12084	1327
901	12097	1314
902	12110	1300
903	12126	1287
904	12140	1274
905	12153	1260
906	12171	1248
907	12185	1234
908	12200	1221
909	12215	1208
910	12227	1194
911	12241	1181
912	12256	1167
913	12268	1154
914	12280	1140
915	12294	1127
916	12307	1113
917	12321	1100
918	12336	1087
919	12351	1074
920	12363	1060
921	12377	1047
922	12391	1033
923	12403	1020
924	12417	1006
925	12430	993
926	12442	979
927	12456	966
928	12469	953
929	12481	939
930	12492	925
931	12508	912
932	12520	899
933	12534	885
934	12548	872
935	12561	858
936	12573	845
937	12587	832
938	12599	818
939	12612	805
940	12624	791
941	12638	778
942	12650	764
943	12663	751
944	12680	737
945	12692	724
946	12706	711
947	12721	697
948	12733	684
949	12746	670
950	12758	657
951	12772	643
952	12784	630
953	12797	617
954	12812	603
955	12823	590
956	12839	576
957	12856	563
958	12869	550
959	12885	536
960	12902	523
961	12917	510
962	12933	496
963	12951	483
964	12965	470
965	12982	456
966	12997	443
967	13016	430
968	13032	416
969	13052	403
970	13071	390
971	13087	376
972	13103	363
973	13119	350
974	13145	337
975	13168	323
976	13197	310
977	13270	298
978	13287	285
979	13301	271
980	13320	257
981	13340	244
982	13356	230
983	13401	217
984	13438	204
985	13462	191
986	13480	177
987	13500	163
988	13516	150
989	13535	136
990	13552	123
991	13571	109
992	13589	95
993	13605	82
994	13625	68
995	13641	54
996	13661	41
997	13683	27
998	13704	13
999	13721	0
